study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2827	SAMEA1466096	ERS085354	ERX110551	ERR134533	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134533/ERR134533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134533/ERR134533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134533/ERR134533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134533/ERR134533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134533/7748_7#21.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134533/7748_7#21.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134533	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134533		
PRJEB2827	SAMEA1466107	ERS085355	ERX110552	ERR134534	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134534/ERR134534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134534/ERR134534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134534/ERR134534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134534/ERR134534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134534/7748_7#22.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134534/7748_7#22.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134534	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134534		
PRJEB2827	SAMEA1466118	ERS085356	ERX110553	ERR134535	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134535/ERR134535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134535/ERR134535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134535/ERR134535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134535/ERR134535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134535/7748_7#23.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134535/7748_7#23.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134535	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134535		
PRJEB2827	SAMEA1466186	ERS085357	ERX110554	ERR134536	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134536/ERR134536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134536/ERR134536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134536/ERR134536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134536/ERR134536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134536/7748_7#24.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134536/7748_7#24.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134536	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134536		
PRJEB2827	SAMEA1466190	ERS085358	ERX110555	ERR134537	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134537/ERR134537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134537/ERR134537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134537/ERR134537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134537/ERR134537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134537/7748_7#25.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134537/7748_7#25.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134537	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134537		
PRJEB2827	SAMEA1466151	ERS085359	ERX110556	ERR134538	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134538/ERR134538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134538/ERR134538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134538/ERR134538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134538/ERR134538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134538/7748_7#26.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134538/7748_7#26.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134538	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134538		
PRJEB2827	SAMEA1466199	ERS085360	ERX110557	ERR134539	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134539/ERR134539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134539/ERR134539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134539/ERR134539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134539/ERR134539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134539/7748_7#27.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134539/7748_7#27.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134539	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134539		
PRJEB2827	SAMEA1466187	ERS085361	ERX110558	ERR134540	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134540/ERR134540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134540/ERR134540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134540/ERR134540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134540/ERR134540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134540/7748_7#28.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134540/7748_7#28.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134540	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134540		
PRJEB2827	SAMEA1466161	ERS085362	ERX110559	ERR134541	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134541/ERR134541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134541/ERR134541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134541/ERR134541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134541/ERR134541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134541/7748_7#29.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134541/7748_7#29.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134541	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134541		
PRJEB2827	SAMEA1466150	ERS085363	ERX110560	ERR134542	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134542/ERR134542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134542/ERR134542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134542/ERR134542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134542/ERR134542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134542/7748_7#30.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134542/7748_7#30.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134542	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134542		
PRJEB2827	SAMEA1466142	ERS085364	ERX110561	ERR134543	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134543/ERR134543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134543/ERR134543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134543/ERR134543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134543/ERR134543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134543/7748_7#31.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134543/7748_7#31.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134543	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134543		
PRJEB2827	SAMEA1466127	ERS085365	ERX110562	ERR134544	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134544/ERR134544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134544/ERR134544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134544/ERR134544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134544/ERR134544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134544/7748_7#32.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134544/7748_7#32.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134544	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134544		
PRJEB2827	SAMEA1466135	ERS085366	ERX110563	ERR134545	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134545/ERR134545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134545/ERR134545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134545/ERR134545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134545/ERR134545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134545/7748_7#33.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134545/7748_7#33.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134545	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134545		
PRJEB2827	SAMEA1466115	ERS085367	ERX110564	ERR134546	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134546/ERR134546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134546/ERR134546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134546/ERR134546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134546/ERR134546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134546/7748_7#34.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134546/7748_7#34.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134546	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134546		
PRJEB2827	SAMEA1466104	ERS085368	ERX110565	ERR134547	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134547/ERR134547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134547/ERR134547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134547/ERR134547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134547/ERR134547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134547/7748_7#35.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134547/7748_7#35.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134547	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134547		
PRJEB2827	SAMEA1466200	ERS085369	ERX110566	ERR134548	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134548/ERR134548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134548/ERR134548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134548/ERR134548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134548/ERR134548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134548/7748_7#36.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134548/7748_7#36.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134548	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134548		
PRJEB2827	SAMEA1466148	ERS085370	ERX110567	ERR134549	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134549/ERR134549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134549/ERR134549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134549/ERR134549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134549/ERR134549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134549/7748_7#37.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134549/7748_7#37.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134549	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134549		
PRJEB2827	SAMEA1466164	ERS085371	ERX110568	ERR134550	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134550/ERR134550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134550/ERR134550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134550/ERR134550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134550/ERR134550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134550/7748_7#38.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134550/7748_7#38.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134550	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134550		
PRJEB2827	SAMEA1466128	ERS085372	ERX110569	ERR134551	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134551/ERR134551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134551/ERR134551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134551/ERR134551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134551/ERR134551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134551/7748_7#39.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134551/7748_7#39.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134551	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134551		
PRJEB2827	SAMEA1466144	ERS085373	ERX110570	ERR134552	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134552/ERR134552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134552/ERR134552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134552/ERR134552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134552/ERR134552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134552/7748_7#40.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134552/7748_7#40.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134552	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134552		
PRJEB2827	SAMEA1466106	ERS085374	ERX110571	ERR134553	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134553/ERR134553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134553/ERR134553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134553/ERR134553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134553/ERR134553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134553/7748_7#41.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134553/7748_7#41.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134553	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134553		
PRJEB2827	SAMEA1466121	ERS085375	ERX110572	ERR134554	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134554/ERR134554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134554/ERR134554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134554/ERR134554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134554/ERR134554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134554/7748_7#42.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134554/7748_7#42.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134554	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134554		
PRJEB2827	SAMEA1466163	ERS085376	ERX110573	ERR134555	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134555/ERR134555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134555/ERR134555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134555/ERR134555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134555/ERR134555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134555/7748_7#43.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134555/7748_7#43.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134555	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134555		
PRJEB2827	SAMEA1466174	ERS085377	ERX110574	ERR134556	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134556/ERR134556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134556/ERR134556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134556/ERR134556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134556/ERR134556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134556/7748_7#44.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134556/7748_7#44.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134556	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134556		
PRJEB2827	SAMEA1466157	ERS085378	ERX110575	ERR134557	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134557/ERR134557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134557/ERR134557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134557/ERR134557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134557/ERR134557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134557/7748_7#45.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134557/7748_7#45.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134557	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134557		
PRJEB2827	SAMEA1466202	ERS085379	ERX110576	ERR134558	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134558/ERR134558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134558/ERR134558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134558/ERR134558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134558/ERR134558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134558/7748_7#46.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134558/7748_7#46.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134558	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134558		
PRJEB2827	SAMEA1466114	ERS085380	ERX110577	ERR134559	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134559/ERR134559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134559/ERR134559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134559/ERR134559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134559/ERR134559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134559/7748_7#47.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134559/7748_7#47.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134559	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134559		
PRJEB2827	SAMEA1466117	ERS085381	ERX110578	ERR134560	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134560/ERR134560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134560/ERR134560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134560/ERR134560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134560/ERR134560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134560/7748_7#48.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134560/7748_7#48.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134560	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134560		
PRJEB2827	SAMEA1466132	ERS085382	ERX113800	ERR137782	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137782/ERR137782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137782/ERR137782_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137782/ERR137782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137782/ERR137782_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137782/7790_1#49.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137782/7790_1#49.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137782	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137782		
PRJEB2827	SAMEA1466145	ERS085383	ERX113801	ERR137783	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137783/ERR137783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137783/ERR137783_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137783/ERR137783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137783/ERR137783_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137783/7790_1#50.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137783/7790_1#50.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137783	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137783		
PRJEB2827	SAMEA1466158	ERS085384	ERX113802	ERR137784	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137784/ERR137784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137784/ERR137784_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137784/ERR137784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137784/ERR137784_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137784/7790_1#51.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137784/7790_1#51.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137784	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137784		
PRJEB2827	SAMEA1466175	ERS085385	ERX113803	ERR137785	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137785/ERR137785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137785/ERR137785_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137785/ERR137785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137785/ERR137785_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137785/7790_1#52.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137785/7790_1#52.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137785	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137785		
